id;failure_level;msg;parameter
1;INFO;Savings Account Dam;Practical Fresh Pants
2;ERROR;transmitter Implementation Electronics;Soap methodology Albania
3;WARNING;Gorgeous Frozen Pants;Common
4;WARNING;HDD;Table Small Frozen Sausages Planner
5;ERROR;Bahamian Dollar Investment Account;Games Regional Digitized
6;ERROR;Georgia Industrial;connect Markets Chief
7;WARNING;Aruba;software scale interactive
8;ERROR;scalable;Small
9;ERROR;magenta monitor 1080p;Unbranded Plastic Tuna Frozen
10;WARNING;Lempira;pixel withdrawal
